iter	Passed	Remaining
471	668	747
472	669	745
473	670	743
474	671	741
475	671	739
476	672	737
477	673	735
478	674	734
479	675	732
480	676	730
481	677	728
482	678	726
483	679	724
484	680	722
485	681	720
486	682	718
487	683	716
488	684	714
489	685	712
490	686	711
491	687	710
492	688	708
493	689	706
494	690	704
495	691	702
496	692	701
497	693	699
498	694	697
499	695	695
500	696	693
501	697	691
502	698	689
503	699	688
504	700	686
505	701	684
506	702	682
507	703	681
508	704	679
509	705	677
510	705	675
511	706	673
512	707	672
513	708	670
514	709	668
515	710	666
516	711	664
517	712	662
518	713	661
519	714	659
520	715	657
521	716	655
522	717	654
523	718	652
524	719	650
525	719	648
526	720	646
527	721	645
528	722	643
529	723	641
530	724	639
531	725	638
532	726	636
533	727	634
534	728	632
535	729	631
536	731	630
537	732	629
538	733	627
539	734	625
540	735	624
541	736	622
542	737	621
543	738	619
544	739	617
545	740	615
546	741	614
547	742	612
548	743	610
549	744	608
550	745	607
551	746	605
552	747	604
553	748	602
554	749	600
555	750	599
556	751	597
557	752	595
558	752	594
559	753	592
560	754	590
561	755	588
562	756	587
563	757	585
564	758	583
565	759	582
566	760	580
567	761	579
568	762	577
569	763	575
570	764	574
571	765	572
572	766	570
573	766	569
574	768	567
575	768	566
576	769	564
577	770	562
578	771	561
579	772	559
580	773	557
581	774	556
582	775	554
583	776	553
584	777	551
585	778	550
586	779	548
587	780	546
588	781	545
589	782	543
590	783	542
591	784	540
592	785	538
593	785	537
594	786	535
595	787	534
596	788	532
597	789	531
598	790	529
599	791	527
600	792	526
601	793	524
602	794	523
603	795	521
604	796	519
605	797	518
606	798	516
607	799	515
608	800	513
609	801	512
610	802	510
611	802	509
612	803	507
613	805	506
614	806	504
615	807	503
616	808	501
617	808	500
618	809	498
619	810	496
620	811	495
621	812	493
622	813	492
623	814	490
624	815	489
625	816	487
626	817	486
627	817	484
628	818	482
629	820	481
630	821	480
631	822	478
632	823	477
633	823	475
634	824	474
635	825	472
636	826	471
637	827	469
638	828	468
639	829	466
640	830	464
641	831	463
642	832	461
643	832	460
644	833	458
645	834	457
646	835	456
647	837	454
648	838	453
649	839	451
650	839	450
651	840	448
652	841	447
653	842	445
654	843	444
655	844	443
656	845	441
657	846	440
658	847	438
659	848	437
660	849	435
661	850	434
662	851	433
663	853	431
664	854	430
665	855	428
666	856	427
667	857	426
668	858	424
669	859	423
670	860	421
671	861	420
672	862	419
673	864	418
674	865	416
675	866	415
676	868	414
677	869	412
678	870	411
679	872	410
680	873	408
681	874	407
682	874	406
683	875	404
684	876	403
685	878	401
686	879	400
687	880	399
688	881	397
689	882	396
690	883	395
691	884	393
692	885	392
693	886	390
694	887	389
695	888	387
696	889	386
697	889	385
698	891	383
699	891	382
700	892	380
701	894	379
702	895	378
703	896	376
704	897	375
705	898	373
706	898	372
707	899	371
708	900	369
709	902	368
710	902	367
711	903	365
712	904	364
713	905	362
714	906	361
715	907	360
716	908	358
717	909	357
718	910	355
719	911	354
720	912	353
721	913	351
722	914	350
723	915	349
724	916	347
725	917	346
726	918	344
727	919	343
728	920	342
729	921	340
730	922	339
731	923	338
732	924	336
733	925	335
734	927	334
735	928	332
736	929	331
737	930	330
738	931	328
739	932	327
740	933	326
741	934	324
742	935	323
743	936	322
744	937	320
745	938	319
746	939	318
747	940	316
748	941	315
749	942	314
750	943	312
751	944	311
752	945	310
753	946	308
754	947	307
755	948	306
756	949	304
757	950	303
758	951	302
759	952	300
760	954	299
761	955	298
762	956	297
763	957	295
764	958	294
765	959	293
766	960	291
767	961	290
768	962	289
769	964	287
770	965	286
771	966	285
772	967	284
773	968	282
774	970	281
775	971	280
776	973	279
777	974	277
778	975	276
779	976	275
780	977	274
781	978	272
782	979	271
783	980	270
784	981	268
785	982	267
786	983	266
787	984	264
788	985	263
789	987	262
790	988	261
791	989	259
792	989	258
793	990	257
794	991	255
795	993	254
796	994	253
797	995	251
798	996	250
799	997	249
800	998	248
801	999	246
802	1000	245
803	1001	244
804	1002	242
805	1003	241
806	1004	240
807	1006	239
808	1007	237
809	1008	236
810	1009	235
811	1010	233
812	1011	232
813	1012	231
814	1014	230
815	1015	228
816	1016	227
817	1017	226
818	1018	225
819	1019	223
820	1020	222
821	1021	221
822	1022	219
823	1023	218
824	1024	217
825	1025	216
826	1026	214
827	1028	213
828	1029	212
829	1030	211
830	1031	209
831	1032	208
832	1034	207
833	1035	206
834	1036	204
835	1037	203
836	1038	202
837	1039	200
838	1040	199
839	1041	198
840	1042	197
841	1043	195
842	1045	194
843	1046	193
844	1047	192
845	1048	190
846	1048	189
847	1050	188
848	1051	186
849	1052	185
850	1053	184
851	1054	183
852	1055	181
853	1056	180
854	1057	179
855	1059	178
856	1060	176
857	1061	175
858	1062	174
859	1063	173
860	1064	171
861	1065	170
862	1066	169
863	1067	167
864	1068	166
865	1069	165
866	1070	164
867	1070	162
868	1072	161
869	1073	160
870	1075	159
871	1076	158
872	1077	156
873	1078	155
874	1080	154
875	1081	153
876	1082	151
877	1082	150
878	1083	149
879	1084	147
880	1085	146
881	1086	145
882	1087	144
883	1088	142
884	1089	141
